Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A360FR21 November 13 2015 12_57.obj	91.50	88.77	13.62	31.18	32.20	23.22	23.08	38.42	34.94	46.49	44.36	23.30	23.08	43.57	44.21	51.06	52.01	40.83	41.33	90.44	23.26	17.65	45.15	27.40	26.19	25.15	88.98	13.43	37.78	37.31	137.22	89.98	144.83	62.18	75.15	73.77	23.68	24.21	108.51	108.38	75.48	23.36	23.76	27.40	38.15	89.74	11.76	89.36	97.17	95.56	96.74	75.49	75.71	38.98	36.66	97.17	23.50	47.07	45.91	23.52	23.33	13.00	13.00	62.70	78.39	102.55	37.88	39.17	103.15	103.59	110.27	96.10	76.38	99.44	132.14	15.43	14.47	28.23	26.01	72.67	71.81	84.44	167.18	52.61	53.95	70.07	70.07	77.14	35.52	34.07	39.03	40.66	37.28	85.49	102.55	15.90	16.77	28.79	28.86	36.46	37.31	89.98	78.39	97.17	38.15	62.70	14.82	26.01	42.27	31.18	32.20	14.47	19.00	86.96	56.42	23.52	63.22	53.95	36.66	23.08	27.40	89.55	62.15	52.01	25.15	31.33	43.55	41.88	45.15	46.22	50.78	45.07	52.04	13.78	21.18	19.99	12.37	1.04	
A361FR21 November 13 2015 01_02.obj	107.12	86.72	14.21	32.93	32.69	27.91	27.50	52.60	42.35	57.87	54.38	28.06	27.50	54.97	48.88	53.70	51.88	39.03	38.96	102.05	26.94	18.77	40.06	29.48	36.48	36.39	99.89	17.56	39.11	39.92	145.51	101.20	141.96	48.26	72.51	81.30	30.18	28.78	104.14	104.72	83.25	27.94	27.91	29.48	39.87	104.06	12.67	97.91	111.28	108.58	111.19	72.62	73.30	40.93	40.96	111.28	25.00	52.57	53.88	26.52	25.63	10.14	10.14	51.26	84.57	101.99	50.43	48.88	103.21	103.34	120.51	108.80	73.81	108.81	126.48	10.91	7.22	28.75	29.01	70.62	69.77	92.45	165.68	63.69	65.80	67.43	67.43	87.29	38.29	39.13	37.14	38.28	36.92	95.42	101.99	19.57	19.03	37.84	38.07	40.39	40.91	101.20	84.57	111.28	39.87	51.26	22.27	29.01	42.43	32.93	32.69	7.22	20.20	98.78	60.28	25.34	67.08	65.80	40.96	27.50	29.48	94.63	65.14	51.88	36.39	31.47	49.04	46.33	54.82	52.16	54.18	56.02	55.22	15.27	21.13	19.67	14.77	1.35	
A363FA22 November 13 2015 01_09.obj	89.04	105.16	20.37	33.23	29.38	25.57	25.53	37.00	36.64	43.88	44.91	25.70	25.53	43.50	47.41	57.81	60.56	47.66	49.66	84.40	27.12	19.89	46.53	30.72	26.44	25.78	77.56	15.52	35.45	35.75	147.64	81.13	157.06	36.91	84.79	78.63	23.14	23.92	117.73	114.90	70.79	23.00	23.58	30.72	42.29	91.91	12.73	88.19	101.63	99.28	101.64	85.15	84.99	35.16	35.51	101.64	25.50	43.36	44.20	23.91	24.13	16.08	15.99	41.47	72.15	115.51	39.13	42.20	116.17	116.63	109.42	100.06	86.45	103.24	143.66	13.74	12.28	22.50	24.47	78.11	80.51	85.85	180.87	53.90	55.69	79.71	79.71	72.11	33.78	33.16	45.26	44.60	35.79	87.74	115.51	16.45	17.20	30.84	30.60	38.06	40.57	81.13	72.15	101.63	42.29	41.47	20.75	24.47	39.69	33.23	29.38	12.28	16.90	89.23	65.96	25.46	72.76	55.69	35.51	25.53	30.72	105.47	74.75	60.56	25.78	36.12	43.90	43.78	41.97	46.94	53.96	47.00	54.60	10.35	21.74	19.36	12.73	1.12	
A364FA21 November 13 2015 01_13.obj	85.89	99.50	19.57	22.84	32.29	25.82	25.45	37.64	37.24	48.50	48.72	25.95	25.45	37.83	46.84	56.67	54.64	42.29	40.63	93.21	22.35	19.42	31.56	29.60	28.23	28.08	91.18	14.43	37.53	37.74	139.71	96.22	145.85	32.21	79.93	80.06	23.63	24.76	112.73	111.28	75.33	23.77	24.63	29.60	37.42	94.20	14.55	87.43	99.71	98.78	98.94	80.20	80.21	38.65	37.20	99.72	29.50	49.48	48.81	24.93	24.77	12.36	12.27	36.45	73.21	109.53	42.76	44.83	111.85	112.04	113.62	99.07	80.09	96.13	135.17	9.70	9.70	28.23	26.60	68.70	69.50	79.04	173.68	58.63	58.87	74.85	74.85	79.20	35.89	35.27	41.59	42.39	44.45	81.33	109.53	16.06	15.71	34.52	32.56	37.62	42.44	96.22	73.21	99.71	37.42	36.45	18.60	26.60	41.10	22.84	32.29	9.70	21.60	86.12	62.73	29.10	69.53	58.87	37.20	25.45	29.60	99.89	70.28	54.64	28.08	31.25	42.58	38.71	41.43	44.31	52.89	47.57	52.09	10.03	22.15	17.09	12.95	2.51	
A368FA31 11 December 2015 10_33.obj	87.83	92.42	15.97	27.85	31.69	25.22	25.35	36.57	35.73	47.98	48.11	25.12	25.35	47.11	50.32	52.98	50.72	41.30	40.48	95.96	22.86	19.21	40.91	25.53	28.04	26.82	91.83	17.27	37.32	38.24	130.66	95.28	141.97	33.02	76.45	70.59	24.29	24.92	104.14	103.12	71.99	23.68	24.58	25.53	37.39	91.05	12.51	90.95	91.76	90.40	90.44	76.84	76.79	34.92	35.26	91.78	25.50	47.05	47.99	23.93	24.10	11.47	11.35	38.46	73.62	101.98	46.01	46.82	102.87	102.36	113.70	90.33	76.61	100.85	127.93	12.67	13.16	27.44	25.27	70.13	69.01	82.64	162.73	55.22	56.93	71.37	71.37	75.80	33.79	34.02	40.75	40.44	44.48	83.88	101.98	16.42	16.53	30.20	29.19	34.21	36.37	95.28	73.62	91.76	37.39	38.46	18.43	25.27	40.52	27.85	31.69	13.16	22.20	88.90	57.31	25.03	64.11	56.93	35.26	25.35	25.53	92.94	67.41	50.72	26.82	31.74	45.76	38.07	42.10	45.60	48.87	40.46	51.26	9.56	19.98	17.16	12.61	0.38	
A369FA44 11 December 2015 10_44.obj	92.84	103.52	19.59	32.71	31.31	23.99	24.21	39.58	39.40	47.23	47.21	24.04	24.21	51.91	49.96	61.07	58.45	47.34	45.36	95.89	25.77	19.55	45.14	30.10	28.82	28.57	92.13	12.74	38.27	38.35	150.76	95.28	157.74	34.54	83.92	77.67	27.10	26.51	113.90	113.40	79.85	26.49	25.53	30.10	42.17	94.03	12.92	93.22	100.41	97.93	100.30	84.23	84.46	38.38	38.68	100.41	26.00	46.65	46.66	23.56	23.53	14.64	14.55	38.47	79.54	114.03	46.82	46.55	114.83	114.49	110.41	97.74	85.94	104.47	141.89	13.41	13.64	25.16	26.40	80.08	77.23	89.85	179.17	56.63	57.13	78.84	78.84	81.43	36.92	35.98	43.60	43.53	39.84	91.38	114.03	12.81	16.64	30.26	30.25	38.03	39.64	95.28	79.54	100.41	42.17	38.47	22.39	26.40	42.38	32.71	31.31	13.64	19.00	92.99	63.90	25.85	70.70	57.13	38.68	24.21	30.10	102.09	71.98	58.45	28.57	36.13	48.81	42.51	44.82	47.84	50.20	47.67	52.68	10.51	19.99	18.05	14.38	0.47	
A371FR-- 5 December 2015 11_18.obj	80.34	99.13	17.32	29.41	32.89	22.33	22.74	37.84	38.26	44.01	44.18	22.44	22.74	38.23	38.38	57.72	56.98	46.04	45.38	86.12	23.09	18.62	41.80	25.93	22.70	23.96	82.04	13.60	35.26	35.55	145.75	85.25	154.46	31.57	81.81	67.21	22.82	23.94	117.89	117.85	69.59	22.69	22.71	25.93	44.45	86.57	12.31	85.65	94.97	93.36	93.65	82.03	81.89	37.84	37.97	94.97	24.50	44.14	44.18	22.21	22.18	12.62	12.57	37.24	68.61	107.74	35.32	36.89	108.74	108.71	108.52	93.12	82.22	100.02	141.06	11.61	12.67	24.48	25.71	75.71	75.72	77.25	178.79	51.20	51.27	76.73	76.73	74.93	33.68	33.53	42.00	41.55	36.14	79.10	107.74	15.65	14.91	24.95	26.32	32.28	34.93	85.25	68.61	94.97	44.45	37.24	15.88	25.71	47.39	29.41	32.89	12.67	14.40	83.13	59.80	24.62	66.60	51.27	37.97	22.74	25.93	97.81	71.87	56.98	23.96	31.72	40.98	38.06	40.91	39.32	47.60	44.89	50.02	8.61	19.94	19.64	11.87	0.97	
A372F--- 5 December 2015 11_52.obj	86.83	92.81	19.80	35.70	32.59	20.36	21.14	36.68	37.07	43.01	42.77	20.36	20.55	46.52	41.67	54.88	52.87	40.91	41.25	93.94	24.30	19.03	41.73	30.21	27.80	28.43	90.55	12.47	33.76	34.50	141.47	93.78	143.45	32.88	73.01	77.25	24.54	24.37	106.79	105.06	77.46	24.03	23.41	30.21	38.91	88.84	12.75	93.25	94.88	93.27	94.86	73.61	73.53	35.05	35.61	94.88	25.50	41.82	42.16	20.50	20.74	11.02	11.02	37.03	78.18	103.21	42.38	40.49	103.80	103.68	112.08	94.56	74.49	104.13	128.27	11.63	11.85	25.10	25.58	71.94	72.27	84.38	165.37	51.84	52.43	67.93	67.93	84.28	32.15	32.18	39.05	39.06	38.34	84.91	103.21	16.58	15.79	29.81	28.80	37.30	39.95	93.78	78.18	94.88	38.91	37.03	20.93	25.58	38.81	35.70	32.59	11.85	18.40	86.87	58.67	25.49	65.47	52.43	35.61	20.55	30.21	92.19	61.98	52.87	28.43	30.30	44.25	40.61	42.52	44.21	47.61	45.97	48.87	10.41	23.56	16.40	12.67	0.47	
A373F--- 5 December 2015 12_40.obj	95.44	84.15	18.10	31.96	29.99	22.40	21.10	35.11	35.29	42.99	43.86	21.23	21.10	42.54	40.60	50.51	49.30	36.80	37.85	87.55	22.16	19.06	34.38	30.29	26.80	25.94	85.20	15.12	32.66	32.96	136.53	88.97	129.52	31.16	66.05	82.94	22.79	22.80	97.07	96.35	76.20	22.09	22.11	30.29	34.58	89.39	7.57	85.71	97.00	95.53	94.99	66.28	66.41	34.09	33.91	97.00	15.00	42.69	43.01	21.39	21.20	8.49	10.54	34.03	76.16	96.35	40.79	39.22	97.26	97.59	104.85	95.55	70.84	94.90	118.66	10.30	10.65	23.93	22.97	64.36	66.08	86.92	152.89	51.84	55.10	60.97	60.97	76.86	30.86	30.45	35.18	35.28	33.66	89.00	96.35	15.99	14.76	30.18	28.06	40.50	42.44	88.97	76.16	97.00	34.58	34.03	18.46	22.97	36.63	31.96	29.99	10.65	16.30	93.36	57.39	15.14	64.19	55.10	33.91	21.10	30.29	87.85	57.56	49.30	25.94	29.71	48.97	39.98	48.40	46.94	49.51	50.05	46.90	12.20	22.15	16.28	12.17	1.24	
A374F--- 5 December 2015 12_52.obj	89.62	87.14	16.81	35.30	30.68	24.14	24.97	42.05	40.26	54.75	53.49	24.27	24.97	48.79	48.96	56.02	53.75	42.19	41.09	95.38	25.52	19.18	41.90	26.59	29.53	30.11	92.57	13.97	41.61	40.26	139.04	97.16	135.25	32.67	70.34	70.70	24.45	25.85	99.26	98.77	74.01	24.42	25.38	26.59	41.29	93.08	12.22	92.54	103.85	102.30	102.99	70.71	70.81	44.03	41.62	103.85	24.50	55.37	54.01	24.48	25.32	8.81	8.81	35.57	76.97	96.92	43.65	45.48	97.81	97.91	112.01	99.31	71.01	103.27	123.80	11.41	12.29	27.71	27.38	73.09	71.58	85.06	158.55	62.27	62.82	65.26	65.26	78.22	38.84	37.25	39.38	39.94	36.13	86.09	96.92	17.40	16.31	32.42	32.32	33.83	36.87	97.16	76.97	103.85	41.29	35.57	22.02	27.38	42.89	35.30	30.68	12.29	19.00	90.17	52.08	24.45	58.88	62.82	41.62	24.97	26.59	88.11	61.53	53.75	30.11	33.29	44.78	41.24	45.09	44.41	51.41	46.29	57.51	9.78	17.53	18.17	14.31	0.99	
A375F--- 5 December 2015 01_38.obj	102.65	103.55	17.19	32.26	32.89	21.50	21.15	35.50	40.47	44.36	47.06	21.55	21.15	54.36	53.96	63.75	62.42	45.15	48.24	104.29	30.80	20.21	42.19	31.45	30.75	32.23	98.36	16.50	37.03	37.16	154.94	103.38	162.55	34.99	86.36	82.17	27.36	27.33	119.22	114.99	86.28	25.93	25.90	31.29	46.08	100.49	10.71	99.22	103.84	103.65	102.91	86.85	86.64	38.00	38.20	103.84	21.51	45.68	45.99	20.98	21.25	15.34	15.30	39.54	85.24	117.81	54.36	49.13	118.35	118.37	117.07	103.84	89.51	105.08	144.89	12.30	11.46	29.19	29.37	80.59	82.63	97.18	185.19	59.22	59.33	81.28	81.28	83.76	35.15	35.74	47.09	47.21	36.41	99.44	117.74	16.61	17.57	33.00	33.65	40.18	42.00	103.38	85.24	103.84	46.08	39.54	26.82	29.37	43.47	32.26	32.89	11.46	21.70	99.91	66.21	21.48	73.01	59.33	38.20	21.15	31.45	105.47	74.01	62.42	32.23	38.68	51.79	47.60	46.80	55.72	57.13	46.65	57.13	14.26	21.57	20.50	15.32	0.64	
A376F--- 5 December 2015 01_45.obj	100.98	97.79	16.83	34.54	30.88	23.27	21.69	40.17	41.36	48.33	49.88	21.76	21.69	47.50	47.16	61.82	62.68	46.84	50.39	94.65	28.84	18.85	43.19	31.07	30.83	29.82	89.45	16.32	36.79	37.68	146.54	93.83	150.99	35.50	80.95	81.63	25.81	25.14	109.24	107.72	82.26	24.78	24.84	31.07	41.47	100.49	13.37	91.36	111.22	106.34	111.16	81.50	81.87	39.55	40.67	111.22	26.50	48.07	49.78	21.68	21.69	14.55	14.47	41.67	75.18	112.03	44.26	42.67	113.64	113.44	110.83	110.50	82.32	101.99	136.10	11.03	10.13	27.21	27.16	78.58	81.87	95.90	175.61	62.41	63.62	75.87	75.87	74.35	35.94	36.18	43.68	42.63	33.46	97.18	112.03	16.86	16.12	32.14	30.91	39.66	41.96	93.83	75.18	111.22	41.47	41.67	23.90	27.16	40.55	34.54	30.88	10.13	20.80	96.43	63.58	26.75	70.38	63.62	40.67	21.69	31.07	100.32	69.25	62.68	29.82	36.58	48.89	48.23	50.68	50.12	57.13	54.05	57.12	14.24	24.36	19.23	13.37	1.42	
A377F--- 5 December 2015 01_56.obj	85.13	92.54	18.35	33.48	32.09	23.44	23.47	37.00	36.26	47.34	47.37	23.45	23.47	45.20	44.62	53.70	55.64	41.38	43.83	92.55	24.82	19.64	41.38	28.48	28.84	28.57	90.65	13.06	34.71	35.38	137.02	94.46	138.77	32.83	74.18	73.84	24.52	24.70	102.97	101.34	73.37	24.50	24.47	28.48	38.12	87.35	12.22	91.31	95.91	94.30	95.72	74.62	74.66	36.06	36.23	95.91	24.50	46.76	47.61	22.19	22.58	11.44	11.33	39.36	73.62	102.66	42.31	42.96	103.47	103.16	114.24	95.31	75.46	104.86	126.59	12.55	10.32	24.29	25.40	72.14	73.48	80.66	162.20	55.59	56.65	69.10	69.10	81.09	33.81	33.72	37.83	38.19	40.22	82.72	102.66	16.29	15.30	31.41	31.60	36.06	37.78	94.46	73.62	95.91	38.12	39.36	20.22	25.40	37.37	33.48	32.09	10.32	22.40	85.39	59.20	24.44	66.00	56.65	36.23	23.47	28.48	93.65	65.17	55.64	28.57	33.46	42.06	40.60	42.52	42.51	50.15	43.64	52.22	10.13	22.35	17.94	12.99	0.50	
A378F--- 5 December 2015 02_03.obj	94.30	96.72	16.78	28.39	32.04	23.77	24.63	38.33	39.13	48.72	49.48	23.88	24.63	49.99	53.02	57.52	57.18	43.69	43.82	95.90	25.27	19.33	39.32	27.66	29.16	29.88	93.47	13.79	36.78	37.43	145.25	95.57	148.31	35.18	79.94	72.48	25.69	26.13	110.38	108.84	80.92	25.18	25.84	26.96	42.40	95.37	11.80	93.16	104.09	103.06	103.93	80.09	80.10	36.53	36.70	104.09	23.51	47.70	48.00	23.73	23.69	12.42	12.29	38.67	84.35	107.59	47.45	48.26	108.02	107.83	111.12	101.62	81.13	100.42	136.47	12.04	12.38	26.88	26.84	73.71	75.63	93.88	172.43	59.46	59.65	74.86	74.86	83.63	34.70	35.50	43.44	43.38	43.12	93.47	107.37	16.00	16.56	31.04	31.58	35.21	37.27	95.57	84.35	104.09	42.40	38.67	21.74	26.84	43.58	28.39	32.04	12.38	22.10	94.65	60.83	23.89	67.63	59.65	36.70	24.63	27.66	98.02	70.36	57.18	29.88	35.15	47.09	46.33	45.96	48.23	52.69	48.18	55.86	10.87	18.90	17.97	14.34	0.46	
A379FA22 11 December 2015 11_36.obj	89.69	95.04	19.57	24.53	33.39	25.80	25.81	38.47	38.73	47.62	46.97	25.82	25.81	43.75	42.15	61.09	58.17	43.83	44.28	89.71	22.42	19.53	29.33	31.31	34.62	27.93	86.49	13.34	38.09	38.65	159.32	88.49	146.49	35.62	75.47	78.96	25.43	24.29	110.82	111.54	75.96	23.88	24.22	31.31	38.84	92.18	13.20	88.09	99.43	98.00	99.42	75.64	75.57	36.80	37.65	99.43	26.50	46.33	46.61	24.12	24.60	14.59	11.92	39.78	74.48	106.78	44.96	42.94	108.11	108.27	108.70	98.86	77.02	98.47	134.61	8.17	8.04	25.28	24.66	71.03	71.22	78.96	172.46	53.96	53.95	70.39	70.39	78.58	35.35	35.19	40.67	40.51	40.08	81.94	106.78	15.09	17.09	29.24	28.52	38.25	40.72	88.49	74.48	99.43	38.84	39.78	16.94	24.66	41.31	24.53	33.39	8.04	17.00	87.18	62.34	26.40	69.14	53.95	37.65	25.81	31.31	97.20	65.89	58.17	27.93	31.69	43.18	38.67	40.72	48.84	53.32	44.37	55.00	11.74	22.96	18.69	13.17	1.49	
A380FL23 11 December 2015 11_42.obj	90.31	100.33	20.67	31.28	31.60	24.58	27.15	41.43	39.57	48.58	48.75	24.58	25.37	44.53	44.79	60.03	57.02	44.29	44.95	92.98	32.77	20.31	43.70	33.22	32.13	29.55	91.36	15.55	36.79	37.63	157.71	93.54	151.37	46.58	79.66	82.69	25.84	25.06	113.24	111.89	73.89	25.47	24.98	33.22	46.07	91.63	15.06	90.10	100.30	94.99	99.98	80.18	80.55	36.87	37.51	100.30	30.00	47.28	48.21	24.79	25.60	11.62	14.01	52.98	73.99	112.88	45.41	42.73	114.17	113.96	110.39	97.21	80.64	100.85	138.65	7.61	12.34	24.36	24.80	78.09	78.10	83.20	174.31	55.94	57.42	74.58	74.58	80.75	33.93	33.49	43.36	42.95	41.20	85.05	112.88	16.64	17.94	33.65	31.69	40.43	42.25	93.54	73.99	100.30	46.07	52.98	28.42	24.80	41.24	31.28	31.60	12.34	19.50	87.85	65.15	30.12	71.95	57.42	37.51	25.37	33.22	101.26	68.04	57.02	29.55	33.39	43.74	41.24	42.04	48.16	54.09	45.02	55.23	12.55	23.54	14.91	13.48	1.08	
A381FR22a 11 December 2015 11_50.obj	81.54	90.41	18.35	25.12	29.20	24.41	23.95	36.84	36.39	43.29	43.29	24.38	23.95	35.05	34.99	52.09	51.96	40.19	39.97	80.08	22.19	18.65	30.24	27.86	23.76	24.12	80.23	11.24	34.97	35.34	137.54	81.67	139.90	32.24	72.06	69.90	22.27	23.17	108.14	106.11	68.96	21.37	22.69	27.86	37.56	83.64	10.65	79.22	90.46	90.25	90.25	72.13	72.24	35.51	35.77	90.45	21.50	42.66	43.11	24.39	24.22	11.86	9.32	37.19	66.09	99.92	34.78	37.28	100.91	100.56	101.42	89.56	74.13	90.66	127.26	10.44	8.37	23.52	25.07	64.66	65.38	75.01	167.85	49.70	50.26	66.98	66.98	71.64	34.07	33.85	38.72	37.11	34.62	77.64	99.92	15.15	16.05	25.70	27.19	35.02	34.87	81.67	66.09	90.46	37.56	37.19	14.62	25.07	42.06	25.12	29.20	8.37	15.00	82.62	57.39	21.30	64.19	50.26	35.77	23.95	27.86	90.60	62.74	51.96	24.12	29.72	38.88	38.71	38.74	42.65	48.24	40.90	49.51	9.51	18.44	19.15	11.53	0.64	
A384F--- 5 December 2015 02_33.obj	96.55	79.76	11.66	28.33	30.68	21.38	21.68	33.39	39.20	47.18	51.08	21.44	21.68	41.60	43.90	50.54	50.20	36.50	37.49	92.56	25.11	19.00	35.67	25.38	30.00	28.48	95.69	13.42	36.22	36.70	133.85	97.87	134.02	34.32	68.10	73.58	24.51	24.30	99.99	99.65	82.04	23.08	23.57	25.38	39.16	92.78	9.70	88.32	98.29	98.14	98.15	68.47	68.41	33.88	34.04	98.28	19.50	47.74	48.06	21.59	20.93	10.29	12.42	37.88	85.32	93.47	44.42	41.32	94.11	94.16	111.93	98.22	69.98	97.39	119.05	10.13	10.95	26.47	29.65	65.02	64.49	87.29	154.36	57.54	58.10	63.02	63.02	82.02	31.48	31.39	37.14	37.00	36.93	88.56	93.47	14.90	14.37	29.69	30.14	35.20	38.38	97.87	85.32	98.29	39.16	37.88	18.23	29.65	44.70	28.33	30.68	10.95	19.80	93.30	52.48	19.41	59.28	58.10	34.04	21.68	25.38	83.18	57.81	50.20	28.48	28.96	45.36	43.15	45.53	50.91	53.95	45.55	52.68	13.71	19.96	20.00	12.77	0.69	
A385FA65 6 December 2015 12_22.obj	121.57	80.76	10.04	35.21	33.90	28.99	29.27	42.93	44.57	53.72	53.83	29.01	29.27	55.85	59.88	55.25	53.82	39.26	37.68	109.96	27.56	18.93	46.01	29.94	36.94	34.35	107.45	15.06	40.28	41.39	150.50	110.41	138.62	40.43	70.73	90.63	29.72	31.68	102.10	99.90	102.14	28.07	29.51	29.94	37.51	116.66	9.14	106.03	122.36	121.80	118.01	70.76	70.89	39.91	42.03	122.71	16.00	51.96	51.89	27.64	26.70	9.83	15.75	42.08	102.33	100.66	51.25	56.42	101.77	101.86	124.53	121.96	74.41	111.80	122.79	12.28	11.28	30.52	30.57	73.30	72.92	122.32	160.99	66.33	67.55	65.65	65.65	102.05	39.25	40.18	37.39	36.41	37.83	119.67	100.66	23.96	17.80	41.66	39.16	44.69	45.94	110.41	102.33	122.36	37.51	42.08	23.29	30.57	41.72	35.21	33.90	11.28	22.00	118.05	59.99	18.28	66.79	67.55	42.03	29.27	29.94	93.51	63.57	53.82	34.35	32.62	59.33	60.31	61.84	59.65	59.69	62.65	59.68	19.90	19.92	20.27	15.75	1.20	
A387FA48 6 December 2015 01_02.obj	116.80	81.55	14.13	36.89	34.20	23.48	23.75	41.51	41.98	55.59	56.09	24.79	23.75	50.83	50.26	52.02	50.75	37.45	37.37	111.00	22.38	19.01	42.67	28.54	35.12	32.82	106.54	13.22	40.88	41.90	139.39	110.81	132.66	36.29	67.42	82.65	27.91	25.27	96.85	94.48	93.53	25.49	24.55	28.54	36.73	110.08	7.84	102.28	117.38	114.66	112.41	68.08	68.09	39.82	41.41	117.37	15.50	55.02	56.07	24.98	23.98	10.40	10.40	39.80	93.23	95.96	48.36	54.06	98.21	97.11	118.43	117.33	71.48	106.71	119.09	11.69	12.26	27.71	28.98	69.26	69.75	106.29	155.98	66.45	66.50	62.34	62.34	110.44	38.31	38.73	37.20	36.70	40.67	108.71	95.96	16.31	15.97	37.09	35.10	40.01	42.64	110.81	93.23	117.38	36.73	39.80	22.51	28.98	44.03	36.89	34.20	12.26	20.20	114.17	55.26	15.69	62.06	66.50	41.41	23.75	28.54	85.57	57.02	50.75	32.82	31.39	57.24	51.41	59.56	57.17	57.13	60.21	57.13	14.41	15.01	14.56	14.27	1.14	
